date time+AF8-utc lat lon elev                               
2021/03/10 20:42:40.000 49.674139512 +AC0-125.377269834 1265.0914   5   9   3.4753   2.4813   5.5513   1.481   2.547   2.1549   0    0
2021/03/10 20:42:41.000 49.674139899 +AC0-125.377268671 1265.3658   5   9   3.4751   2.4812   5.5516   1.4805   2.5469   2.1549   0    0
2021/03/10 20:42:42.000 49.674138651 +AC0-125.377268714 1265.5757   5   9   3.475   2.4811   5.5519   1.48   2.5469   2.1549   0    0
2021/03/10 20:42:43.000 49.674137666 +AC0-125.377267312 1265.5677   5   9   3.4748   2.481   5.5522   1.4794   2.5468   2.1549   0    0
2021/03/10 20:42:44.000 49.674136392 +AC0-125.377266797 1265.3895   5   9   3.4747   2.4809   5.5525   1.4789   2.5467   2.1549   0    0
2021/03/10 20:42:45.000 49.674137386 +AC0-125.377268864 1265.3461   5   9   3.4746   2.4808   5.5528   1.4784   2.5466   2.1549   0    0
2021/03/10 20:42:46.000 49.674138527 +AC0-125.377268763 1265.5254   5   9   3.4744   2.4807   5.5531   1.4779   2.5465   2.1549   0    0
2021/03/10 20:42:47.000 49.674135747 +AC0-125.377268175 1264.4919   5   9   3.4743   2.4806   5.5534   1.4773   2.5464   2.1549   0    0
2021/03/10 20:42:48.000 49.674137062 +AC0-125.377268547 1264.028   5   9   3.4741   2.4805   5.5537   1.4768   2.5463   2.1549   0    0
2021/03/10 20:42:49.000 49.674139362 +AC0-125.377268877 1264.5049   5   9   3.474   2.4804   5.554   1.4763   2.5463   2.1549   0    0
2021/03/10 20:42:50.000 49.674139766 +AC0-125.377267855 1264.6508   5   9   3.4738   2.4803   5.5543   1.4758   2.5462   2.1549   0    0
2021/03/10 20:42:51.000 49.674140901 +AC0-125.377267277 1264.9795   5   9   3.4737   2.4802   5.5546   1.4752   2.5461   2.1549   0    0
2021/03/10 20:42:52.000 49.67413929 +AC0-125.377267682 1264.8814   5   9   3.4736   2.4801   5.5549   1.4747   2.546   2.1549   0    0
2021/03/10 20:42:53.000 49.67413939 +AC0-125.377267064 1265.3861   5   9   3.4734   2.48   5.5552   1.4742   2.5459   2.1548   0    0
2021/03/10 20:42:54.000 49.674141621 +AC0-125.377264444 1265.9408   5   9   3.4733   2.4799   5.5555   1.4737   2.5458   2.1548   0    0
2021/03/10 20:42:55.000 49.674139834 +AC0-125.377264164 1265.4602   5   9   3.4731   2.4798   5.5558   1.4731   2.5457   2.1548   0    0
2021/03/10 20:42:56.000 49.67414101 +AC0-125.377263711 1265.4126   5   9   3.473   2.4797   5.5561   1.4726   2.5457   2.1548   0    0
2021/03/10 20:42:57.000 49.674140189 +AC0-125.377263919 1265.0315   5   9   3.4728   2.4796   5.5564   1.4721   2.5456   2.1548   0    0
2021/03/10 20:42:58.000 49.674138844 +AC0-125.377265456 1264.6883   5   9   3.4727   2.4794   5.5567   1.4716   2.5455   2.1548   0    0
2021/03/10 20:42:59.000 49.674136419 +AC0-125.377264968 1264.3344   5   9   3.4726   2.4793   5.557   1.471   2.5454   2.1548   0    0
2021/03/10 20:43:00.000 49.674135681 +AC0-125.377265575 1264.4712   5   9   3.4724   2.4792   5.5573   1.4705   2.5453   2.1548   0    0
2021/03/10 20:43:01.000 49.674133921 +AC0-125.377266238 1264.7798   5   9   3.4723   2.4791   5.5576   1.47   2.5452   2.1548   0    0
2021/03/10 20:43:02.000 49.674133107 +AC0-125.377266639 1264.8305   5   9   3.4721   2.479   5.5579   1.4695   2.5451   2.1548   0    0
2021/03/10 20:43:03.000 49.674135273 +AC0-125.377267194 1265.694   5   9   3.472   2.4789   5.5582   1.4689   2.545   2.1548   0    0
2021/03/10 20:43:04.000 49.674134788 +AC0-125.377266881 1265.9928   5   9   3.4718   2.4788   5.5585   1.4684   2.545   2.1548   0    0
2021/03/10 20:43:05.000 49.674132612 +AC0-125.377266277 1265.7014   5   9   3.4717   2.4787   5.5588   1.4679   2.5449   2.1548   0    0
2021/03/10 20:43:06.000 49.674132292 +AC0-125.377266008 1265.5348   5   9   3.4716   2.4786   5.5591   1.4673   2.5448   2.1547   0    0
2021/03/10 20:43:07.000 49.67412884 +AC0-125.377266326 1264.5911   5   9   3.4714   2.4785   5.5594   1.4668   2.5447   2.1547   0    0
2021/03/10 20:43:08.000 49.674129465 +AC0-125.377266829 1264.5426   5   9   3.4713   2.4784   5.5597   1.4663   2.5446   2.1547   0    0
2021/03/10 20:43:09.000 49.674134148 +AC0-125.377268778 1265.3642   5   9   3.4711   2.4783   5.56   1.4657   2.5445   2.1547   0    0
2021/03/10 20:43:10.000 49.674130622 +AC0-125.377267654 1265.2218   5   9   3.471   2.4782   5.5603   1.4652   2.5444   2.1547   0    0
2021/03/10 20:43:11.000 49.674133172 +AC0-125.377266696 1265.4012   5   9   3.4709   2.4781   5.5605   1.4647   2.5443   2.1547   0    0
2021/03/10 20:43:12.000 49.674130831 +AC0-125.377264929 1264.9171   5   9   3.4707   2.478   5.5608   1.4642   2.5442   2.1547   0    0
2021/03/10 20:43:13.000 49.674132018 +AC0-125.377264602 1265.1193   5   9   3.4706   2.4779   5.5611   1.4636   2.5441   2.1547   0    0
2021/03/10 20:43:14.000 49.674130954 +AC0-125.377263992 1264.6913   5   9   3.4704   2.4778   5.5614   1.4631   2.5441   2.1547   0    0
2021/03/10 20:43:15.000 49.674130405 +AC0-125.377262319 1264.5961   5   9   3.4703   2.4777   5.5617   1.4626   2.544   2.1547   0    0
2021/03/10 20:43:16.000 49.674132651 +AC0-125.377261451 1265.1208   5   9   3.4701   2.4776   5.562   1.462   2.5439   2.1547   0    0
2021/03/10 20:43:17.000 49.6741349 +AC0-125.377261503 1265.2506   5   9   3.47   2.4775   5.5623   1.4615   2.5438   2.1547   0    0
2021/03/10 20:43:18.000 49.674138583 +AC0-125.377259393 1265.7217   5   8   3.7443   2.4849   6.1562   1.3647   2.4414   2.8903   0    0
2021/03/10 20:43:19.000 49.674138664 +AC0-125.37726061 1265.697   5   8   3.7443   2.4848   6.157   1.3641   2.4413   2.8908   0    0
2021/03/10 20:43:20.000 49.674132828 +AC0-125.377261629 1264.6339   5   9   3.4696   2.4771   5.5632   1.4599   2.5435   2.1546   0    0
2021/03/10 20:43:21.000 49.674135897 +AC0-125.377263437 1265.6   5   8   3.7444   2.4845   6.1586   1.3631   2.4412   2.8917   0    0
2021/03/10 20:43:22.000 49.674133184 +AC0-125.377264275 1265.484   5   8   3.7444   2.4844   6.1594   1.3626   2.4411   2.8922   0    0
2021/03/10 20:43:23.000 49.674131166 +AC0-125.37726516 1265.3692   5   8   3.7444   2.4843   6.1602   1.3621   2.4411   2.8927   0    0
2021/03/10 20:43:24.000 49.674130957 +AC0-125.377265017 1265.1397   5   8   3.7444   2.4842   6.161   1.3616   2.441   2.8932   0    0
2021/03/10 20:43:25.000 49.674133004 +AC0-125.377265168 1265.0182   5   8   3.7445   2.4841   6.1618   1.361   2.441   2.8936   0    0
2021/03/10 20:43:26.000 49.674133374 +AC0-125.377264877 1264.9876   5   8   3.7445   2.484   6.1626   1.3605   2.4409   2.8941   0    0
2021/03/10 20:43:27.000 49.674133144 +AC0-125.377266041 1264.9798   5   8   3.7445   2.4838   6.1634   1.36   2.4408   2.8946   0    0
2021/03/10 20:43:28.000 49.67413431 +AC0-125.377264927 1264.8592   5   8   3.7445   2.4837   6.1642   1.3595   2.4408   2.8951   0    0
2021/03/10 20:43:29.000 49.674133755 +AC0-125.377264175 1264.8069   5   8   3.7446   2.4836   6.165   1.359   2.4407   2.8956   0    0
2021/03/10 20:43:30.000 49.674131872 +AC0-125.37726437 1265.0222   5   8   3.7446   2.4835   6.1657   1.3584   2.4407   2.896   0    0
2021/03/10 20:43:31.000 49.674132225 +AC0-125.377263924 1265.0192   5   8   3.7446   2.4834   6.1665   1.3579   2.4406   2.8965   0    0
2021/03/10 20:43:32.000 49.674132013 +AC0-125.377262835 1264.6504   5   8   3.7446   2.4833   6.1673   1.3574   2.4405   2.897   0    0
2021/03/10 20:43:33.000 49.674132091 +AC0-125.377261856 1264.5554   5   8   3.7447   2.4832   6.1681   1.3569   2.4405   2.8975   0    0
2021/03/10 20:43:34.000 49.67413282 +AC0-125.377260006 1264.7245   5   8   3.7447   2.483   6.1689   1.3564   2.4404   2.898   0    0
2021/03/10 20:43:35.000 49.674134016 +AC0-125.377260203 1264.9441   5   8   3.7447   2.4829   6.1697   1.3558   2.4403   2.8984   0    0
2021/03/10 20:43:36.000 49.674134369 +AC0-125.377260494 1265.2666   5   8   3.7447   2.4828   6.1705   1.3553   2.4403   2.8989   0    0
2021/03/10 20:43:37.000 49.674135206 +AC0-125.377261425 1265.1307   5   8   3.7447   2.4827   6.1713   1.3548   2.4402   2.8994   0    0
2021/03/10 20:43:38.000 49.674134848 +AC0-125.377261963 1265.1358   5   8   3.7448   2.4826   6.1721   1.3543   2.4402   2.8999   0    0
2021/03/10 20:43:39.000 49.67413385 +AC0-125.377263714 1265.0579   5   8   3.7448   2.4825   6.1729   1.3537   2.4401   2.9004   0    0
2021/03/10 20:43:40.000 49.674132228 +AC0-125.377265738 1265.0843   5   8   3.7448   2.4823   6.1737   1.3532   2.44   2.9008   0    0
